county,city,totalcountconfirmed,totalcountdeaths
Orange,Aliso Viejo ,231,1
Orange,Anaheim ,4967,123
Orange,Buena Park ,795,7
Orange,Costa Mesa ,914,5
Orange,Coto de Caza ,17,0
Orange,Cypress ,278,6
Orange,Dana Point ,149,0
Orange,Fountain Valley ,293,8
Orange,Fullerton ,1337,23
Orange,Garden Grove ,1499,14
Orange,Huntington Beach ,1417,43
Orange,Ladera Ranch ,98,0
Orange,Laguna Beach ,108,0
Orange,Laguna Hills ,178,5
Orange,Laguna Niguel ,223,0
Orange,Laguna Woods ,34,0
Orange,Lake Forest ,445,1
Orange,Los Alamitos ,141,16
Orange,Midway City ,56,0
Orange,Mission Viejo ,469,3
Orange,Newport Beach ,689,3
Orange,Orange ,1337,17
Orange,Placentia ,523,4
Orange,Rancho Mission Viejo ,40,0
Orange,Rancho Santa Margarita ,196,0
Orange,Rossmoor ,26,0
Orange,San Clemente ,254,3
Orange,San Juan Capistrano ,197,3
Orange,Santa Ana ,5419,128
Orange,Seal Beach ,161,19
Orange,Silverado ,18,0
Orange,Stanton ,341,4
Orange,Trabuco Canyon ,119,0
Orange,Tustin ,656,7
Orange,Villa Park ,35,0
Orange,Westminster ,535,12
Orange,Yorba Linda ,383,4
Los Angeles,Agoura Hills,231,1
Los Angeles,Alhambra,4967,14
Los Angeles,Artesia,795,3
Los Angeles,Avalon,914,0
Los Angeles,Azusa,17,9
Los Angeles,Baldwin Park,278,40
Los Angeles,Bell,149,26
Los Angeles,Bell Gardens,293,13
Los Angeles,Bellflower,1337,39
Los Angeles,Beverly Hills,1499,8
Los Angeles,Bradbury,1417,0
Los Angeles,Cerritos,98,7
Los Angeles,Claremont,108,3
Los Angeles,Commerce,178,2
Los Angeles,Compton,223,30
Los Angeles,Covina,34,11
Los Angeles,Cudahy,445,11
Los Angeles,Culver City,141,27
Los Angeles,Diamond Bar,56,4
Los Angeles,Downey,469,60
Los Angeles,Duarte,689,23
Los Angeles,El Monte,1337,76
Los Angeles,El Segundo,523,0
Los Angeles,Gardena,40,34
Los Angeles,Glendale,196,122
Los Angeles,Glendora,26,23
Los Angeles,Hawaiian Gardens,254,1
Los Angeles,Hawthorne,197,28
Los Angeles,Hermosa Beach,5419,2
Los Angeles,Hidden Hills,161,0
Los Angeles,Huntington Park,18,30
Los Angeles,Industry,341,2
Los Angeles,Inglewood,119,71
Los Angeles,Irwindale,656,0
Los Angeles,La Canada Flintridge,35,6
Los Angeles,La Habra Heights,535,0
Los Angeles,La Mirada,383,21
Los Angeles,La Puente,817,7
Los Angeles,La Verne,229,3
